,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50
2025-01-01 00:00:00,39.037088221195134,49.32465018655942,39.521415423369895,38.390445514481904,37.11019722275256,47.14533273179492,48.97606496075157,47.560411304285886,48.11711564542201,49.187908661672445,36.01245945997753,43.78798767393763,45.84393282985357,35.53626197295675,37.59202137963598,40.101912858259205,48.50534484301429,46.13038545264526,44.92219389731613,43.054634068468296,40.77816336700927,41.738988558870375,45.14175150071591,40.245673052729416,47.94696504757734,46.05583525947658,36.40187804452399,48.037375109741454,44.55668777213039,44.6138142193208,38.11788952124958,43.17263068020432,39.92490850966082,43.980985209088935,48.53088763718363,46.05647096301415,36.162127866360805,40.58712485313071,47.20624467550121,47.23021648444693,48.979700574570685,42.435701895796335,40.38314749408939,40.09930634058876,44.85740149446162,39.4820537047662,48.336031354083225,39.72790549823386,42.846369549351486,35.48472485221348
2025-01-01 00:15:00,37.36479984098819,48.57204328759414,39.73618894266121,39.20676540238655,35.80069127344095,47.99486358410527,50.024940975338886,48.196300258809416,48.71406860576652,48.44518931775002,36.95204647773302,43.28121605749524,45.879527825396,36.94333170559535,36.19412218912537,41.13024490780136,48.96665170896176,46.80489903124157,44.92286094878538,43.93081607711549,41.248843588927485,42.123883497253054,45.01894712446731,40.6578296790846,47.608366927943614,45.99349870416135,36.46239191522174,48.58292095085631,44.72275966921998,44.431003925654494,37.142436944890285,43.41411867695376,40.63922688108307,44.04691387057024,49.05983947622823,45.3814101950194,36.348691666316974,40.84839407683714,47.30708901864894,48.04129259429018,49.1111725340672,42.52094213963745,40.48554318030156,40.28015684181405,45.47569261232158,39.47116378914136,47.45327252102646,40.27534057876414,42.364184626568665,35.56116222482115
2025-01-01 00:30:00,37.30366971035868,49.82439144897379,38.77727279010218,38.53852131562552,35.84094696829465,49.24067005279324,50.963402215840965,47.65258581129246,49.1227685669168,47.443503864338425,35.914875925263125,42.92072925185639,44.98570620840506,36.55747520077393,36.40858878064773,40.0480227462358,49.29652745743177,46.88289457728832,44.44931316623158,43.79440723693753,40.74333502595032,41.68649951747693,46.049122092326805,40.76166187669464,47.395285757606814,45.55757440402832,36.28213546207617,49.02686754422947,44.76917707617789,44.52582012925526,38.28526723919016,42.18723145539335,40.23160407789343,44.6112744587357,49.26453955723667,46.287160390077695,36.048788422251135,40.58500617922842,46.97647963089086,47.7853784029651,49.08776840227005,42.42305426568859,40.83613342225716,40.8631245983448,43.34558128394278,40.04887429140807,48.58823163334837,40.215479431674446,43.06241223001058,36.880877254477525
2025-01-01 00:45:00,38.43257753637055,49.08617534229138,39.71518018844948,38.40079271221193,36.87240330527793,47.52525149202222,49.67407663588724,47.15657746788431,48.431196638562206,49.952057346357165,37.97898452196102,44.53789879443435,45.603320649821576,36.71754246219565,37.0676232547899,40.77477105042348,50.1868815745301,46.54844597767247,43.49707377010392,43.52618507678261,40.32224202171818,41.35544162754652,45.09274855267961,40.75748954909567,48.070154187611045,46.47266641714705,36.365384986779794,48.4632779666952,44.721124203086895,44.53254709760256,38.44790236066574,41.94801162638102,40.872129039318686,43.96149998689689,49.21990304285429,45.96692252903041,35.72865751446083,41.50014707203253,48.001903213768735,48.16294463684061,49.96988633872806,43.09811485720433,40.63540359460296,40.31065313190864,44.85813624560302,39.50028292871464,48.53653997712393,40.54686033802792,42.0468558282221,35.98191110577714
2025-01-01 01:00:00,38.12738689182867,49.89344016924184,40.56707298853448,39.13116233343784,35.90069878484536,48.26386397858432,49.65421292010604,48.591428435196846,48.73148268913156,49.18882736734905,37.99770179725881,43.383296000443046,45.15576559692282,37.025309786486766,37.04917547750081,40.33706653927854,49.76320798098824,46.726362895913496,45.76473929031549,43.74090960818022,40.210234878771566,42.58858353712928,45.793478887014444,40.66843194847999,48.10861551681127,46.36278078370785,35.11195973986211,49.19132376793166,45.96626640303947,44.39682633883021,37.07748085939647,42.08628845483712,41.11461933977914,44.01474311136785,48.89778066685086,46.21101848879337,36.2443058274834,41.036660179403455,48.08100430989264,47.8347310028975,50.080466209135054,43.37265049024544,40.52414535112047,41.17611021556019,44.88335354771339,39.46510350956795,49.445316219859656,40.187624444829645,41.675782406894506,35.25771450268712
2025-01-01 01:15:00,37.78175881539029,49.10941667124773,39.39039943543938,39.23419742472819,36.28105589241508,48.37881102548829,50.07226360160515,48.38810309364557,48.645631535463416,49.31302557043151,37.704133016778194,43.6233838263947,45.92171934117692,36.14298515538348,39.03188212948916,41.010064932082045,48.728062460091145,46.21174121164277,44.63079593721733,43.017856339584434,41.574686394892574,42.67616192051412,46.33119337200559,40.74374944959197,47.94984737144718,46.79061184941458,36.19285154672877,48.84281759008356,45.134151238765256,44.24410990579586,37.95578518143539,42.57821209285807,41.05415794253992,44.06215161515011,48.724975748254,45.71521803659374,36.40388802003518,40.62885821684145,48.384900500918654,48.62338687804505,49.61255789463202,42.31178355757098,41.07469584185726,39.8023987109446,45.39771054321714,39.55701771564334,48.565219940145056,40.1103285600544,43.57334228630016,35.54561637451168
2025-01-01 01:30:00,37.97411056803226,49.35313509577624,38.58605398242394,39.77401815809803,35.92708298837584,48.89245125834712,49.82747588040762,47.74959187133519,48.26888540511085,48.678389939194766,37.433574754727694,43.43751259132384,46.55971627901653,37.1169729666246,38.68189647964986,40.54342386989477,48.85884075768288,46.28156391222617,44.40742658333551,44.16012652051868,41.948221758747614,43.16168736215323,45.07712829640578,40.597124674442384,48.30746945918864,46.42778318874,35.73346213650478,48.35615692655696,45.25717208828421,44.68416305092894,38.64074915807479,42.7332134595934,40.78064219684841,42.85870280240536,48.51212844145763,46.5714185143826,36.53604037350688,40.482927322507415,48.03888473949961,47.99790571015348,50.96044038960052,42.60296881441974,41.410922521856925,39.83265534953964,45.74576628684805,39.954976488701845,49.48318564416254,40.66014499817908,43.39441592764549,36.634304277194055
2025-01-01 01:45:00,38.52288552031976,49.75177963318317,39.68102326452506,39.16519628616671,36.933029097120446,47.631268385574224,50.30655178669064,48.93469867478339,48.65324196121919,48.59070384937312,37.20937726707808,44.15308006643127,46.65559287316008,37.021388859549454,37.59746933744124,40.46085456925618,49.4573901055757,46.98863029592561,44.81421307862574,44.66176220660924,41.48951731576221,43.37489297409179,45.46764746554282,41.862551150504025,48.427723392680925,47.64145508479029,35.87671680029383,48.28521817818481,45.046163040482845,45.06731092570265,37.88998585363665,43.53063581943835,40.888243022721774,42.99106270503948,49.64719767684359,46.10057014398078,35.572680099213024,41.3348717898914,50.45856391930186,48.155266031930665,49.43830451446298,43.22633428249637,41.44950827262709,39.92275729192114,45.49314431020233,39.29676710237912,49.03105266927092,40.74822620871128,42.299673852771605,35.139429491136895
2025-01-01 02:00:00,38.57231702069225,50.06737753026918,39.28300737195652,39.06909861142373,35.418765267868295,48.42788248006831,50.067473722267,48.44460547177805,49.68629056822318,48.78614193798455,37.34315829193508,44.93671816976142,46.27688703560718,36.74776012409844,38.64034113281263,40.78925452067581,50.22389882612878,46.27405402198029,44.83609703012176,43.96059842638428,42.45829676201468,41.92813494449505,45.26596304198146,41.01956525500898,48.78214575017133,44.94057588365644,35.92051309311344,48.59160973944874,45.21548032948839,44.78761953063391,37.620278558279736,43.83180957445214,41.68784705954336,44.0392481299392,49.80922804750709,46.39351309118149,36.012715941738506,41.43913163795676,48.355381432257104,48.78606344886787,50.02255696872891,43.0119154168756,41.27694503764092,41.26289123081893,44.42176160571247,39.14621521273592,49.28638686054471,40.36352816882891,42.58839726277356,36.71444267108903
2025-01-01 02:15:00,38.68282817632425,49.5343003302406,39.95302782919308,39.38636390249509,36.63081422875756,48.81676237161304,51.57171420752877,48.662638695417336,49.36484762431262,49.5516793490806,37.857224354811486,44.61363956003637,46.49124581000859,37.86271852013383,38.47828988803767,40.70360889429045,50.24370503668248,47.00487187862858,43.98953492812711,43.238079596645534,40.80558139537233,42.63168103863486,46.09525817002013,41.474851744545,48.11291864368117,46.941786489956456,36.21429346204539,49.397645367340274,45.75468997281576,45.56052529013001,38.09951290369192,43.29833585760738,41.72342868065949,43.42217595027626,50.54899272555922,47.40153361796215,36.51127484732295,41.50907241920767,48.727030197887736,48.5672088122142,50.71730803463409,42.59830878301154,41.19739151209984,40.60046116222269,45.433348649493134,40.30080080232744,49.254019838670864,40.390423607588325,43.32473039304231,35.80948062407645
